CONTACT_ID,WEEK_ID,ORDER_COUNT,QUANTITIY_COUNT
677961,202245,2,70
677961,202301,5,165
677961,202309,1,10
677961,202314,4,22
677961,202315,2,50
677961,202319,3,90
677961,202321,1,5
677961,202325,1,3
677962,202132,2,15
677962,202133,2,80
677962,202137,1,20
677962,202139,5,132
677962,202206,1,50
677962,202217,1,10
677962,202220,1,5
677962,202248,1,1
677962,202249,2,60
677962,202314,2,15
677962,202323,3,30
677963,202133,1,60
677963,202136,1,10
677963,202137,1,20
677963,202138,2,40
677963,202140,2,100
677963,202149,1,10
677963,202150,2,40
677963,202153,1,20
677963,202202,1,200
677963,202209,6,50
677963,202211,2,150
677963,202213,2,100
677963,202215,4,39
677963,202216,4,65
677963,202217,1,60
677963,202222,9,70
677963,202223,7,245
677963,202225,4,132
677963,202232,1,100
677963,202233,1,10
677963,202234,3,30
677963,202235,1,20
677963,202236,1,20
677963,202237,2,200
677963,202238,1,100
677963,202240,1,180
677963,202241,6,580
677963,202242,2,30
677963,202247,3,115
677963,202252,2,300
677963,202301,1,30
677963,202304,2,25
677963,202309,1,100
677963,202311,1,30
677963,202312,1,30
677963,202313,1,10
677963,202314,2,165
677963,202318,9,390
677964,202133,1,60
677964,202136,4,260
677964,202139,1,90
677964,202141,40,1054
677964,202146,2,75
677964,202147,1,120
677964,202149,4,260
677964,202206,5,195
677964,202209,7,70
677964,202220,2,9
677964,202226,2,250
677964,202233,3,46
677964,202234,1,20
677964,202235,1,10
677964,202236,3,350
677964,202237,6,450
677964,202239,1,105
677964,202241,1,20
677964,202243,1,3
677964,202244,2,100
677964,202248,1,90
677964,202250,1,10
677964,202311,6,150
677964,202312,1,100
677964,202318,33,465
677965,202132,8,405
677965,202133,13,545
677965,202136,1,150
677965,202137,4,474
677965,202138,1,200
677965,202139,9,479
677965,202142,1,15
677965,202143,1,24
677965,202145,5,640
677965,202146,2,110
677965,202147,4,71
677965,202148,1,36
677965,202149,2,185
677965,202150,1,10
677965,202151,3,40
677965,202202,3,102
677965,202203,4,420
677965,202204,1,50
677965,202207,2,145
677965,202209,1,30
677965,202210,1,30
677965,202211,1,10
677965,202212,1,100
677965,202213,3,110
677965,202214,2,120
677965,202215,4,68
677965,202216,2,35
677965,202218,2,60
677965,202220,6,184
677965,202224,2,39
677965,202225,5,245
677965,202226,8,355
677965,202233,1,10
677965,202235,1,20
677965,202236,1,30
677965,202238,1,18
677965,202239,1,30
677965,202240,1,100
677965,202241,2,50
677965,202243,6,120
677965,202244,1,10
677965,202245,1,20
677965,202246,2,40
677965,202247,1,30
677965,202248,4,62
677965,202249,4,370
677965,202301,1,60
677965,202302,3,55
677965,202306,3,92
677965,202309,1,10
677965,202310,3,70
677965,202311,5,290
677965,202314,4,105
677965,202315,5,60
677965,202322,1,30
677968,202135,1,90
677968,202136,1,10
677968,202138,2,15
677968,202140,11,172
677968,202144,2,27
677968,202145,1,25
677968,202150,4,67
677968,202151,1,20
677968,202202,1,20
677968,202204,1,100
677968,202207,1,50
677968,202213,1,10
677968,202215,2,40
677968,202218,1,20
677968,202221,1,2
677968,202224,1,2
677968,202225,1,20
677968,202237,1,5
677968,202239,2,20
677968,202246,1,20
677968,202313,1,10
677968,202314,1,5
677969,202138,1,40
677969,202207,9,119
677969,202240,1,90
677969,202251,1,60
677970,202132,3,85
677970,202133,2,32
677970,202135,1,20
677970,202138,3,70
677970,202141,2,34
677970,202142,3,64
677970,202150,1,50
677970,202152,3,300
677970,202203,1,30
677970,202206,4,130
677970,202220,4,260
677970,202225,4,80
677970,202227,1,5
677970,202233,1,10
677970,202234,1,100
677970,202235,2,30
677970,202239,1,20
677970,202240,4,90
677970,202244,1,30
677970,202246,2,6
677970,202252,1,5
677970,202301,2,5
677970,202304,1,90
677970,202309,1,10
677970,202310,2,70
677970,202318,5,380
677970,202322,1,10
677970,202324,2,20
677971,202145,2,93
677971,202150,4,160
677971,202210,4,60
677971,202211,3,24
677971,202214,3,75
677971,202217,1,10
677971,202218,1,10
677971,202224,1,5
677971,202227,4,40
677971,202237,4,130
677971,202240,2,100
677971,202247,1,10
677971,202312,5,220
677971,202324,2,10
677972,202135,1,90
677972,202136,1,300
677972,202143,2,15
677972,202146,1,40
677972,202149,6,662
677972,202150,2,60
677972,202151,9,680
677972,202202,2,30
677972,202211,2,40
677972,202216,2,60
677972,202217,4,400
677972,202218,4,187
677972,202220,8,157
677972,202223,7,204
677972,202225,1,100
677972,202232,2,40
677972,202234,2,40
677972,202236,1,100
677972,202239,3,280
677972,202240,2,19
677972,202242,1,50
677972,202244,1,90
677972,202245,1,10
677972,202246,2,35
677972,202248,4,115
677972,202252,2,120
677972,202307,5,180
677972,202308,1,90
677972,202309,3,120
677972,202311,4,120
677972,202312,1,50
677972,202313,1,10
677972,202314,2,40
677972,202318,1,90
677972,202322,1,10
677972,202325,4,440
677973,202215,1,50
677973,202218,1,30
677973,202243,1,50
677973,202244,1,100
677973,202248,2,120
677973,202315,2,7
677973,202325,1,90
677974,202132,7,485
677974,202134,1,5
677974,202135,2,85
677974,202136,1,20
677974,202138,3,130
677974,202139,1,5
677974,202140,12,281
677974,202141,3,40
677974,202145,14,1065
677974,202146,1,10
677974,202147,1,40
677974,202150,7,400
677974,202151,6,13
677974,202202,9,574
677974,202203,1,10
677974,202204,4,127
677974,202207,6,56
677974,202208,7,82
677974,202209,2,20
677974,202210,1,10
677974,202212,5,110
677974,202213,1,10
677974,202218,1,15
677974,202220,29,1124
677974,202225,10,360
677974,202226,4,60
677974,202232,1,50
677974,202233,4,215
677974,202236,5,490
677974,202237,4,310
677974,202239,6,752
677974,202241,6,600
677974,202243,3,80
677974,202244,15,1038
677974,202245,2,54
677974,202246,2,52
677974,202247,1,25
677974,202248,1,2
677974,202249,2,70
677974,202253,2,15
677974,202302,1,3
677974,202305,1,10
677974,202307,5,84
677974,202308,1,50
677974,202309,2,10
677974,202310,2,120
677974,202311,2,80
677974,202314,1,50
677974,202316,3,28
677974,202317,2,4
677974,202321,3,35
677974,202323,6,380
677974,202325,2,120
677975,202225,1,50
677975,202226,2,50
677975,202240,1,20
677975,202248,2,200
677975,202310,1,50
677975,202314,3,45
677976,202142,1,2
677976,202242,1,10
677977,202153,2,550
677977,202225,1,10
677977,202226,2,100
677977,202234,3,34
677977,202238,1,50
677977,202241,1,100
677977,202243,2,500
677978,202133,2,60
677978,202147,1,90
677978,202202,1,50
677978,202212,2,30
677978,202213,2,55
677978,202217,1,5
677978,202239,1,10
677978,202240,4,40
677978,202243,1,50
677978,202245,2,60
677978,202305,1,1
677978,202309,2,15
677978,202314,1,1
677978,202317,4,35
677978,202323,2,15
677979,202131,1,10
677979,202132,3,206
677979,202133,5,120
677979,202134,3,130
677979,202135,1,10
677979,202136,2,130
677979,202137,1,10
677979,202138,1,50
677979,202140,15,286
677979,202141,1,20
677979,202144,3,119
677979,202146,4,340
677979,202147,1,20
677979,202148,2,52
677979,202149,7,280
677979,202150,6,205
677979,202151,1,25
677979,202152,5,250
677979,202202,1,30
677979,202204,12,485
677979,202206,2,40
677979,202208,2,115
677979,202209,3,30
677979,202210,3,65
677979,202211,33,2634
677979,202212,5,90
677979,202213,1,20
677979,202214,2,70
677979,202215,1,14
677979,202216,1,20
677979,202218,2,30
677979,202222,3,65
677979,202223,3,50
677979,202224,2,80
677979,202225,2,100
677979,202226,5,92
677979,202235,4,80
677979,202237,4,140
677979,202238,14,476
677979,202239,1,50
677979,202241,1,50
677979,202244,1,15
677979,202245,1,3
677979,202246,1,2
677979,202248,1,10
677979,202250,3,110
677979,202252,1,20
677979,202306,2,50
677979,202309,2,15
677979,202311,2,50
677979,202312,2,50
677979,202313,2,20
677980,202133,5,75
677980,202134,1,30
677980,202136,2,80
677980,202142,2,30
677980,202145,1,20
677980,202146,1,20
677980,202150,5,180
677980,202207,2,40
677980,202211,1,25
677980,202216,2,128
677980,202218,1,20
677980,202222,2,30
677980,202223,1,49
677980,202233,1,5
677980,202238,1,18
677980,202239,1,5
677980,202240,3,65
677980,202241,1,50
677980,202244,5,290
677980,202245,1,3
677980,202246,1,25
677980,202250,4,150
677980,202253,2,4
677980,202303,1,25
677980,202309,1,10
677980,202310,1,9
677980,202311,1,10
677980,202314,1,25
677980,202315,9,215
677980,202320,1,20
677980,202322,2,19
677981,202240,2,120
677982,202140,16,254
677982,202240,1,30
677983,202145,1,20
677983,202203,1,20
677983,202210,2,30
677983,202211,1,50
677983,202214,1,20
677983,202215,1,20
677983,202220,8,175
677983,202225,2,60
677983,202227,5,135
677983,202232,1,10
677983,202237,1,30
677983,202238,4,64
677983,202240,2,30
677983,202241,3,150
677983,202242,1,9
677983,202243,2,80
677983,202245,1,21
677983,202246,5,120
677983,202247,6,260
677983,202248,1,10
677983,202250,1,20
677983,202301,1,30
677983,202303,1,50
677983,202304,2,60
677983,202305,2,60
677983,202306,3,44
677983,202309,1,10
677983,202310,4,135
677983,202311,5,265
677983,202314,4,145
677983,202315,2,40
677983,202317,1,30
677983,202318,9,410
677983,202319,2,71
677983,202320,1,30
677983,202322,4,195
677984,202238,14,186
677984,202304,2,10
677984,202325,1,10
677985,202132,2,40
677985,202133,3,50
677985,202136,1,50
677985,202141,11,168
677985,202149,1,30
677985,202150,5,295
677985,202210,1,60
677985,202211,5,210
677985,202214,2,120
677985,202220,7,720
677985,202222,1,40
677985,202224,4,220
677985,202234,3,90
677985,202237,1,50
677985,202238,1,100
677985,202244,4,120
677985,202250,5,465
677985,202251,1,50
677985,202302,1,25
677985,202307,1,7
677985,202310,2,60
677985,202311,1,15
677985,202324,10,670
677987,202132,4,110
677987,202135,1,90
677987,202141,4,120
677987,202144,1,20
677987,202145,6,360
677987,202153,3,210
677987,202203,1,100
677987,202204,1,30
677987,202206,1,20
677987,202215,2,45
677987,202217,5,134
677987,202220,9,260
677987,202226,1,20
677987,202232,1,50
677987,202234,2,64
677987,202235,4,450
677987,202237,2,40
677987,202239,2,80
677987,202240,7,105
677987,202241,2,75
677987,202243,1,50
677987,202245,1,5
677987,202246,1,20
677987,202248,1,90
677987,202301,1,5
677987,202303,2,150
677987,202306,2,24
677987,202310,5,367
677987,202313,2,30
677987,202314,3,59
677987,202315,1,90
677987,202317,1,10
677987,202318,16,447
677987,202323,5,135
677987,202325,1,10
677988,202152,6,65
677988,202209,1,6
677988,202215,1,10
677988,202234,4,37
677988,202248,1,3
677988,202308,2,40
677989,202138,2,50
677989,202140,17,370
677989,202217,3,40
677989,202218,1,5
677989,202222,2,16
677989,202223,2,27
677989,202225,3,175
677989,202239,3,115
677989,202240,1,100
677989,202241,1,100
677989,202245,1,2
677989,202246,1,100
677989,202249,2,10
677989,202301,1,9
677989,202303,3,118
677989,202305,1,30
677989,202318,30,815
677990,202133,2,60
677990,202139,3,30
677990,202141,6,100
677990,202217,1,100
677990,202242,1,10
677991,202132,3,70
677991,202133,2,60
677991,202134,4,30
677991,202136,3,50
677991,202138,2,22
677991,202139,3,32
677991,202140,15,350
677991,202142,1,15
677991,202143,1,30
677991,202145,2,70
677991,202146,1,10
677991,202147,3,50
677991,202148,3,27
677991,202150,4,190
677991,202152,1,50
677991,202203,1,10
677991,202207,6,145
677991,202209,3,85
677991,202212,2,36
677991,202213,5,55
677991,202214,5,65
677991,202215,1,50
677991,202217,3,45
677991,202218,4,50
677991,202224,5,110
677991,202225,14,310
677991,202227,3,100
677991,202233,3,30
677991,202234,7,260
677991,202235,6,70
677991,202240,7,106
677991,202241,3,250
677991,202243,1,15
677991,202244,1,90
677991,202245,2,15
677991,202246,1,20
677991,202247,1,15
677991,202248,2,55
677991,202249,2,60
677991,202251,1,60
677991,202253,1,10
677991,202301,1,30
677991,202305,3,40
677991,202308,3,40
677991,202309,1,20
677991,202310,2,100
677991,202311,4,140
677991,202312,1,50
677991,202313,1,90
677991,202314,3,70
677991,202315,1,20
677991,202316,1,50
677991,202317,2,30
677991,202318,17,345
677991,202322,2,20
677991,202323,3,148
677991,202324,1,20
677992,202133,10,72
677992,202138,3,18
677992,202145,10,105
677992,202149,1,10
677992,202151,1,25
677992,202209,2,20
677992,202212,1,10
677992,202225,2,17
677992,202233,1,25
677992,202236,3,17
677992,202238,1,10
677992,202241,1,50
677992,202243,1,15
677992,202245,1,3
677992,202247,1,3
677992,202306,2,24
677992,202312,2,50
677992,202319,2,19
677992,202322,4,70
677992,202324,1,6
677993,202226,1,10
677993,202237,1,10
677993,202325,1,90
677994,202133,2,30
677994,202142,4,45
677994,202143,2,15
677994,202146,3,27
677994,202150,1,12
677994,202202,1,10
677994,202215,1,5
677994,202225,2,120
677994,202252,1,90
677994,202314,3,120
677994,202322,1,20
677996,202238,1,9
677998,202250,1,10
677998,202302,1,9
677998,202314,1,9
677999,202132,10,205
677999,202133,1,10
677999,202134,1,10
677999,202135,1,90
677999,202136,1,40
677999,202138,3,55
677999,202139,6,188
677999,202140,24,468
677999,202142,1,12
677999,202143,11,180
677999,202144,1,50
677999,202145,13,345
677999,202148,2,35
677999,202149,3,80
677999,202150,3,55
677999,202152,5,170
677999,202153,12,405
677999,202205,1,15
677999,202206,4,170
677999,202211,5,63
677999,202213,1,20
677999,202214,5,130
677999,202217,5,320
677999,202220,19,328
677999,202223,2,125
677999,202225,4,90
677999,202227,4,112
677999,202232,5,280
677999,202233,2,100
677999,202235,7,510
677999,202237,4,50
677999,202238,2,209
677999,202239,2,100
677999,202240,9,860
677999,202241,1,30
677999,202243,3,150
677999,202244,1,20
677999,202245,1,10
677999,202246,3,125
677999,202247,4,57
677999,202249,2,140
677999,202250,2,30
677999,202301,2,100
677999,202303,1,50
677999,202308,2,40
677999,202311,4,170
677999,202313,1,5
677999,202315,7,340
677999,202316,7,170
677999,202322,2,20
677999,202323,6,120
677999,202324,3,24
678000,202136,4,302
678000,202138,4,82
678000,202145,2,20
678000,202146,1,20
678000,202147,4,80
678000,202148,5,115
678000,202149,1,12
678000,202153,1,60
678000,202206,2,30
678000,202207,2,20
678000,202213,2,15
678000,202219,4,24
678000,202223,1,2
678000,202224,1,6
678000,202235,1,10
678000,202236,1,10
678000,202237,16,172
678000,202238,1,10
678000,202239,6,43
678000,202242,4,39
678000,202244,1,5
678000,202245,4,51
678000,202246,1,25
678000,202301,1,10
678000,202310,1,9
678000,202311,1,30
678000,202317,1,10
678000,202318,1,9
678000,202323,1,10
678001,202127,6,135
678001,202132,15,307
678001,202135,1,90
678001,202136,13,269
678001,202137,2,60
678001,202138,2,2
678001,202140,34,634
678001,202141,1,5
678001,202145,29,1655
678001,202146,3,37
678001,202147,2,40
678001,202150,2,35
678001,202203,6,200
678001,202210,2,4
678001,202213,3,15
678001,202214,7,110
678001,202215,3,65
678001,202217,1,10
678001,202218,4,24
678001,202220,3,85
678001,202222,22,551
678001,202224,4,34
678001,202225,1,30
678001,202232,5,130
678001,202234,3,41
678001,202235,9,235
678001,202236,1,20
678001,202238,17,308
678001,202240,2,8
678001,202241,2,40
678001,202244,2,40
678001,202245,20,930
678001,202246,3,80
678001,202247,3,65
678001,202248,1,1
678001,202250,2,45
678001,202309,2,40
678001,202310,3,25
678001,202311,2,20
678001,202312,1,20
678001,202313,1,25
678001,202314,9,100
678001,202315,2,20
678001,202317,2,20
678001,202321,1,25
678002,202139,2,112
678002,202213,2,15
678002,202240,1,10
678002,202308,3,150
678002,202309,2,12
678002,202313,1,90
678002,202316,10,116
678002,202318,11,321
678002,202322,9,155
678002,202325,3,42
678003,202137,1,20
678003,202143,2,15
678003,202144,2,360
678003,202152,1,30
678003,202220,12,174
678003,202233,1,30
678003,202243,1,10
678003,202247,1,2
678003,202248,1,360
678003,202304,1,5
678003,202310,2,6
678003,202313,1,30
678003,202317,4,12
678003,202321,1,25
678003,202323,1,30
678003,202325,2,138
678004,202132,4,121
678004,202133,4,77
678004,202134,1,10
678004,202135,1,150
678004,202136,1,60
678004,202137,4,67
678004,202138,2,35
678004,202139,2,25
678004,202140,7,191
678004,202142,3,41
678004,202143,2,15
678004,202145,6,121
678004,202146,4,83
678004,202147,1,150
678004,202150,8,263
678004,202152,2,60
678004,202202,2,70
678004,202203,4,90
678004,202204,5,256
678004,202206,3,42
678004,202210,5,40
678004,202212,1,10
678004,202213,9,209
678004,202214,1,4
678004,202215,4,30
678004,202216,3,32
678004,202217,4,85
678004,202220,10,305
678004,202222,5,35
678004,202223,1,14
678004,202224,5,95
678004,202225,3,60
678004,202226,7,112
678004,202227,3,13
678004,202232,8,129
678004,202233,1,150
678004,202234,5,120
678004,202235,2,20
678004,202236,3,50
678004,202237,3,20
678004,202238,5,60
678004,202239,8,131
678004,202240,4,290
678004,202241,4,140
678004,202242,1,5
678004,202243,2,40
678004,202244,2,30
678004,202245,3,30
678004,202246,9,178
678004,202247,1,5
678004,202248,2,230
678004,202249,3,50
678004,202250,2,15
678004,202251,2,70
678004,202252,2,23
678004,202302,6,385
678004,202303,1,25
678004,202304,1,180
678004,202305,1,20
678004,202306,3,36
678004,202307,4,65
678004,202308,1,20
678004,202309,3,25
678004,202310,2,40
678004,202311,5,70
678004,202314,5,69
678004,202315,9,127
678004,202318,16,441
678004,202319,4,110
678004,202320,2,45
678004,202322,5,60
678004,202323,1,20
678004,202324,3,46
678004,202325,3,32
678005,202136,1,30
678005,202141,13,184
678005,202145,4,100
678005,202220,6,280
678005,202221,2,275
678005,202303,1,30
678006,202244,1,90
678007,202209,3,30
678007,202248,1,5
678007,202307,1,5
678009,202138,3,20
678009,202140,10,220
678009,202149,1,50
678009,202212,1,30
678009,202214,1,15
678009,202218,1,20
678009,202222,1,20
678009,202224,1,50
678009,202226,2,4
678009,202233,4,40
678009,202235,2,20
678009,202243,2,100
678009,202244,1,90
678009,202246,3,26
678009,202248,3,26
678009,202303,1,50
678009,202304,1,90
678009,202310,1,20
678009,202312,1,90
678009,202314,1,20
678009,202322,1,20
678010,202127,4,35
678010,202132,9,57
678010,202133,1,20
678010,202134,4,28
678010,202136,7,41
678010,202137,2,20
678010,202138,1,40
678010,202140,49,327
678010,202143,1,10
678010,202144,6,39
678010,202146,1,10
678010,202152,2,20
678010,202153,7,33
678010,202202,2,53
678010,202206,6,46
678010,202208,13,137
678010,202210,5,50
678010,202212,4,35
678010,202214,1,75
678010,202215,3,26
678010,202217,1,10
678010,202218,3,13
678010,202219,7,54
678010,202222,3,18
678010,202223,3,35
678010,202225,2,70
678010,202227,7,36
678010,202233,1,15
678010,202236,1,10
678010,202237,6,84
678010,202240,1,5
678010,202242,2,8
678010,202243,2,20
678010,202244,1,90
678010,202246,2,6
678010,202304,1,90
678010,202308,1,5
678010,202311,1,15
678010,202313,3,11
678010,202315,2,20
678010,202316,7,85
678010,202317,2,10
678010,202320,2,15
678010,202321,1,90
678010,202322,3,30
